seq_len_actual,seq_len_bucket,M,N,padding_size,padding_pct,npu_only_ms,npu_only_std,padding_only_ms,padding_only_std,transfer_only_ms,transfer_only_std,e2e_total_ms,e2e_total_std,overhead_ms,overhead_pct
2,128,128,128,126,6300.0,0.2894842799992148,0.01237813715613165,0.0173399520001567,0.18960245715775348,0.11059283000349751,0.008304334855431427,0.4285485799948674,0.014927885583793049,0.13906429999565262,48.038636155313796
64,128,128,128,64,100.0,0.2870068400022774,0.008341806333870053,0.01399929800186328,0.004170701512819112,0.10952235000672772,0.005618889529486199,0.8035353300010684,0.022307930153232142,0.516528489998791,179.97079442242295
96,128,128,128,32,33.33333333333333,0.30056666000973564,0.10324653018927925,0.016767462001098465,0.005069140130505653,0.10971608999739146,0.008809427089708402,0.9968835899996975,0.008669604287709142,0.6963169299899619,231.6680532589368
115,128,128,128,13,11.304347826086957,0.2840481300006559,0.008468292546700939,0.01752115000158483,0.0040494997912885475,0.11057046000019,0.008735615552441556,1.1099755200052641,0.020968230764913366,0.8259273900046082,290.7702261594544
127,128,128,128,1,0.7874015748031495,0.2906919800011565,0.014541055624850958,0.017572604999941177,0.0038234272550741674,0.10884632999818677,0.005553936025805095,1.1831970599996566,0.017246216187741765,0.8925050799985002,307.0277618236834
128,128,128,128,0,0.0,0.28694592999954693,0.010895983774333885,0.0007989530012082469,0.00039399817133086096,0.10693577999631998,0.006109247936682699,1.1577673300098468,0.019089808313709936,0.8708214000102998,303.4792652440391
129,256,128,128,127,98.44961240310077,0.2833084499900451,0.010967300910964529,0.020192716997257776,0.004222057230230104,0.12164829999960602,0.013683878755923412,1.2073090700039302,0.020912461766580088,0.924000620013885,326.14650923625913
192,256,128,128,64,33.33333333333333,0.28547375000584907,0.012312917464370613,0.022923435002098813,0.005744618522568524,0.11803869999539529,0.007120148116642701,1.5864699499968538,0.04172526157410958,1.3009961999910047,455.7323396509656
230,256,128,128,26,11.304347826086957,0.2874310000083824,0.00935508699233021,0.02236510399893632,0.003949206736358459,0.12359017999642674,0.020262369710409543,1.8167323799923452,0.037460255761406845,1.5293013799839628,532.0586088276364
255,256,128,128,1,0.39215686274509803,0.29005702999938876,0.011304864589735371,0.022966111999835448,0.004448288587251956,0.12231152999447659,0.012263969287220365,1.9510924700102805,0.019244337627040392,1.6610354400108918,572.6582251822657
256,256,128,128,0,0.0,0.2861692499959645,0.009073373458545721,0.0009811870016847024,0.0004236646354750835,0.12344830999836631,0.01942259651321727,1.9262058899960266,0.021424227484878718,1.640036640000062,573.100233523759
257,512,128,128,255,99.22178988326849,0.28506572000878805,0.010497926147258219,0.029025514994259538,0.005789689563376528,0.18316654999807724,0.03867131134553869,2.0138533599924813,0.03574923497433502,1.7287876399836932,606.4523085870858
384,512,128,128,128,33.33333333333333,0.28686974000265764,0.009767650573277052,0.035971835001419095,0.008520595951529075,0.1738871799966546,0.049512010311421405,2.784659540006942,0.07184784605311133,2.497789800004284,870.7052197213774
460,512,128,128,52,11.304347826086957,0.28511049998996896,0.010870008859465052,0.033986409997169176,0.008394147112671387,0.15924528000823557,0.03358253829910506,3.2157995700072206,0.021788048334320204,2.9306890700172517,1027.9134125612218
511,512,128,128,1,0.19569471624266144,0.28957594000075915,0.018562518239404247,0.03505807400097183,0.008236748456523498,0.17178403999650982,0.06044823558015292,3.498230999994121,0.07200063033859165,3.2086550599933616,1108.0530585465594
512,512,128,128,0,0.0,0.28613234999511405,0.010368619681986171,0.0013178440001411218,0.0007195020681225583,0.1454539700011992,0.011922056465804466,3.4602127599919186,0.07663667724638447,3.1740804099968045,1109.304980737412
513,1024,128,128,511,99.61013645224172,0.2848935400015762,0.007276167458493517,0.04370436999784033,0.012201691927169887,0.23706514000195966,0.07497762996787109,3.583952319988839,0.09555419019885969,3.299058779987263,1157.997046886009
768,1024,128,128,256,33.33333333333333,0.28779749000250376,0.012883746024220615,0.0478346409979622,0.011769399727516106,0.21094917001164504,0.06871621517482819,5.066722599990499,0.10693016379726956,4.778925109987995,1660.5166049038228
921,1024,128,128,103,11.183496199782844,0.2850290499964103,0.01022761313438055,0.055418861001044206,0.017306388762051875,0.21768624998458108,0.07283947459330237,6.046894509995582,0.22009025257348663,5.761865459999171,2021.5011277172405
1023,1024,128,128,1,0.09775171065493646,0.28892368999095197,0.016804673425396058,0.06338519200039627,0.017495035951393536,0.23226707999583596,0.07422441467260302,6.598646930015093,0.09615893965934653,6.309723240024141,2183.871886802269
1024,1024,128,128,0,0.0,0.28590802998678555,0.010591351580583677,0.0015522940063874557,0.001326635436098969,0.2249900600077126,0.055535150154470254,6.591569820002405,0.252072605523454,6.30566179001562,2205.486075472264
1025,2048,128,128,1023,99.8048780487805,0.2859530199953042,0.009535483006846217,0.07761496900002385,0.0161562385475758,0.26525221999690984,0.0803015320668424,6.641631739994409,0.060582985521510736,6.355678719999105,2222.630388762278
1536,2048,128,128,512,33.33333333333333,0.2880524499983039,0.00999919810379562,0.0935417100029099,0.023534500926417883,0.2956619900055557,0.06846044199769052,9.82405196998343,0.1943767064612784,9.535999519985126,3310.508041171416
1843,2048,128,128,205,11.12316874660879,0.2865762000055838,0.00959136468146263,0.11083172999769886,0.035361106477633616,0.3117975299937825,0.09459505546231947,11.676495989995601,0.24648685106493332,11.389919789990017,3974.48210624891
2047,2048,128,128,1,0.048851978505129456,0.28735176998452516,0.009748294244687608,0.11197976100083906,0.032036877046118586,0.2587887499998942,0.06837786688890668,12.786942370005363,0.24792936599521737,12.499590600020838,4349.926433616185
2048,2048,128,128,0,0.0,0.2884576499900504,0.012063262086040064,0.0026527820009505376,0.0016612900743723466,0.28148072000021784,0.09357110273214725,12.695773509997252,0.19341941707510668,12.407315860007202,4301.260812613276
2049,4096,128,128,2047,99.90239141044412,0.2884445300060179,0.010172681670737054,0.1497221380047904,0.04201357319148134,0.4142023400049766,0.08746874088927313,12.939053679983772,0.20797973175978446,12.650609149977754,4385.803103880605
3072,4096,128,128,1024,33.33333333333333,0.2864572400198995,0.010764502356402035,0.17969636899965735,0.04667155624237928,0.40892834000260336,0.09496642602654908,19.03940865000095,0.2725041445789889,18.75295140998105,6546.509841635816
3686,4096,128,128,410,11.12316874660879,0.288096659992334,0.008554926870148374,0.20454743600021175,0.042787016771255425,0.4189377899729152,0.10715655399835627,22.633471420010665,0.22273344629249056,22.34537476001833,7756.207503624971
4095,4096,128,128,1,0.02442002442002442,0.28592511999704584,0.008396181593937272,0.2080188000045382,0.04593315769991916,0.4264428999840675,0.09484191054338516,25.100156799996967,0.2035278397571979,24.81423167999992,8678.576992555358
4096,4096,128,128,0,0.0,0.28525681000019176,0.008434979553093662,0.004764374999467691,0.0244497806216524,0.4114614199966127,0.08761552654967278,24.85340757999211,0.16447288202737148,24.568150769991917,8612.643032071837
